A,Dan Clark Audio,Aeon Flow 2,889.99,5,"Planar, Open","Soft lows, balanced mids, Rich highs",Great separation and detail,"Classical, Film score"
A,AKG,K812,1499,4,"Dynamic, Open","Rich bass, clean mids, smooth highs",A plesant and accurate reference sound signature,"Reference, Films, Classical, Jazz"
A,AKG,N90,1499.99,2,Closed,"Rich lows, Mid range definition, Dynamic highs",A layered sound experience made with percision,Everything
A,Audeze,LCD - 3,1945,4,"Planar, Open","Rich bass, Crisp mids, Sparkling highs","Immaculate detail across the board, excellent separation of elements","Classical, Film score"
A,Audeze,LCD XC,1299,3,"Planar, Closed","Detailed lows, clear mids, crisp mids",Immaculate in high end response and prestine detail across all bands of frequency,"Classical, R&B, Jazz, Pop, Contemporary"
A,Audeze,MOBIUS,399,5,"Planar, Closed","Clear bass, clean mids, crisp highs","A top of the line gaming headset, with surround sound that immerses you like no other headphone can",Gaming
A,Audio Technica,AD5000X,1999,3,"Dynamic, Open","Clear bass, spacious mids, extended highs",Tight and crisp with an ambient tonallity,"Classical, Jazz, Pop, Folk, Ambient, Piano"
A,Beyerdynamic,DT990,185,5,"Dynamic, Open","Smooth lows, crisp mids, detailed highs",Excelent reference headphone that excels in articulating a detailed sound signiture,"Reference, Mixing, Studio"
A,Beyerdynamic,Lagoon ANC,299.99,5,Closed,"Incredible low end detail, Crisp mids, Rich highs",A great design for any sound,Everything
A,Campfire Audio,Cascade,799,5,"Dynamic, Closed","Punchy lows, dynamic mids, detailed highs",A powerful headphone with a good amount of drive and highs end shine,"Hip-hop, Electronic, Rock, Pop"
A,Focal,Clear,1490,5,"M-Shaped, Open","Full lows, detailed mids, spacious highs",High detailed response to dynamic range. Great for anylitical listens for audiophiles and sound mixers,"Reference, Classical, Jazz, Pop, Folk"
A,Focal,Utopia,3990,4,"M-Shaped, Open","Deep lows, full mids, crisp highs","Spearation and layering are impecable, richest timbre there is",Everything
A,Grado,Ps1000e,1695,4,"Dynamic, Open","Rich lows, clean mids, detailed highs","Pristine and livley, with a consoderable amount of depth and accuracy","Classical, Jazz, Synth, Rock"
A,HEDD,HEDDphone,1899.99,3,"AMT, Open","Deep lows, full mids, detailed highs",The best soundstage I've heard on a headphone,"Classical, Film score"
A,HIFIMAN,ARYA,1599,5,"Planar, Open","Deep lows, detialed mids, sparkly highs",Though sometimes leaning on bright the Aryas have an energetic and detailed sound signature,"Electronic, Contemporary, Rock, Pop, Ambient, Piano"
A,MEZE,Empyrean,2999,4,"Isodynamic Hybrid, Open","Natural Lows, soft mids, dynamic highs",A immersive amount of separation and clarity for a more relaxed sound signiture,"Classical, Jazz, R&B, Pop, New wave"
A,Sennheiser,HD800S,1699,5,"Dynamic, Open","Detailed bass, clear mids, airy highs",Great resolution across all bands of frequency,"Classical, Film score, Rock, Pop, Jazz"
