Rank  ,Headphone,Price,Value,Principle,Overall Timbre ,Summary,Genre Focus 
A,Focal Utopia ,"$3,990.00",4,"M-Shaped, Open","Deep lows, full mids, crisp highs","Spearation and layering are impecable, richest timbre there is","Classical, film score, most genres"
A,Focal Clear,"$1,490.00",5,"M-Shaped, Open","Full lows, detailed mids, spacious highs ",High detailed response to dynamic range. Great for anylitical listens for audiophiles and sound mixers ,"Reference, Classical, jazz, Pop, folk"
A,AKG N90,"$1,499.99",2,Closed,"Rich lows, Mid range definition, Dynamic highs ",A layered sound experience made with percision,Everything 
A,Beyerdynamic Lagoon ANC,$299.99,5,Closed ,"Incredible low end detail, Crisp mids, Rich highs",A great design for any sound,Anything thats audible 
A,Ultrasone ED15,"$3,499.99",3,"GTC, Open","Rounded lows, Crips mids, Spacious highs ",Detail and clarity throughout nearly every band ,Most
A,Ultrasone Jubilee ED25,"$5,999.00",4,"Dynamic, Closed ","Deep bass, clean mids, smooth highs ",An immersive sound signiture with rich deatials and unmatched definition ,"Jazz, classical, contemporary, rock, folk"
A,HEDDphone,"$1,899.99",3,"AMT, Open","Deep lows, full mids, detailed highs ",The best soundstage I've heard on a headphone,"Classical, film score, but most genres sound great"
A,Aeon Flow 2,$889.99,5,"Planar, Open","Soft lows, balanced mids, Rich highs",Great separation and detail,"Classical, film score, but most genres sound great"
A,Audeze LCD - 3,"$1,945.00",4,"Planar, Open","Rich bass, Crisp mids, Sparkling highs ","Immaculate detail across the board, excellent separation of elements ","Classical, film score, but most genres sound great"
A,SENNHEISER HD820,"$2,399.00",4,"Dynamic, Closed ","Neutral lows, spacious mids, airy highs ","A fun, colorful timbre with a respectable amount of detail that gets better and better the more you listen ","Classical, Film score, pop, ambient, piano"
A,AUDIO TECHNICA AD5000X,"$1,999.00",3,"Dynamic, Open","Clear bass, spacious mids, extended highs",Tight and crisp with an ambient tonallity ,"Classical, Jazz, Pop, Folk, Ambient, Piano "
A,SENNHEISER HD800S,"$1,699.00",5,"Dynamic, Open","Detailed bass, clear mids, airy highs ",Great resolution across all bands of frequency ,"Classical, film score, Rock, Pop, Jazz"
