  ,IEM,Price,Value,Overall Timbre,Summary,Genre Focus
A,64 Audio tia Fourte ,"$3,599.00",4,"Natural lows, clean mids, sparkly highs ",An IEM with prestine quality across the board,"Classical, pop, rock, Synth, ambient"
A,AUDIO TECHNICA ATH-LS300,$399.00,5,"Impactful bass, clear mids, crisp highs","The complete package with deep, punchy bass, and sparkling highs for endless enjoyment.","Hip-hop, Jazz, classical, pop, rock, ambient "
A,Beyerdynamic Xelento,$999.00,5,"Rich bass, balanced mids, crisp highs ",Incredible balance with clear definition ,"Classical, rock, Pop, jazz, folk"
A,Campfire Andromeda,"$1,099.00",3,"Rich bass, crisp mids, elegant highs","A layered soundstage with depth in most frequency bands, poweful output","Hip Hop, Rock, Electronic, Classical "
A,Campfire Andromeda 2020,"$1,099.00",4,"Wide bass, Full mids, rich highs","A lower end focus compared to previous model, but still rich in detail","hip Hop, Rock, Electronic, Classical, Pop"
A,CAMPFIRE ARA,"$1,299.00",4,"Natural lows, crisp mids, clear highs",A high quality IEM with natural properties ,"Classical, jazz, rock, pop, piano, synth "
A,CAMPFIRE COMET,$199.00,5,"Deep bass, rich mids, rounded highs ","One of the most affordabe IEMs Campfire offers, with nothing lost in fiedelity","Rock, Hip-hop, R&B, Pop, Piano, contemporary"
A,CAMPFIRE POLARIS,$499.00,5,"Punchy bass, clear mids, detailed highs ",A warm sound signiture miixed with Campfires irrisistable quality ,"Hip-hop, Rock, Pop, folk, contemporary"
A,Campfire Solaris 2020,"$1,499.00",3,"Rounded bass, meaty mids, glistening highs",A smooth overall timbre with expressive fullness ,"Folk, Rock, Pop, Electronic"
A,Clear Tune VS4,$599.00,5,"Deep lows, clean mids, detailed highs ","The biggest upgrade from this series, lows are buttery smooth, and highs glisten. Very rounded and colorful ","Classical, pop, film score, electronic, hip-hop"
A,DUNU DN-2000,$315.00,5,"Clean lows, clear mids, airy highs",An exceptional hybrid IEM with great balance and space,"Rock, metal, pop, ambient, piano, synth, folk"
A,EMPIRE EAR NEMSIS,"$1,599.00",4,"Subtle bass, clean mids, detailed highs",Great soundstage design with rich textures escpecially for more ambient genres,"Pop, Ambient, Piano, Electronic, Classical"
A,Empire Ears Odin ,"$3,399.00",4,"Deep lows, full mids, airy highs",An expensive but extremly high quality IEM with masterful separation and full band resolution ,"Classical, jazz, folk, pop, hard rock, piano, synth"
A,Final B1,$699.00,5,"Balanced bass, clear mids, resonant highs",A dynamic timbre with a spacious soundstage,"Pop, Classical, Rock, Folk"
A,FINAL E4000,$149.00,5,"Dynamic bass, full mids, detailed highs",A smooth and articulate timbre with an impressive soundstage and hightened immersion ,"Classical, film score, Hip-hop, electronic"
A,HIFIMAN RE800,$599.00,5,"Smooth bass, full mids, sparkly highs ",An exceptional IEM perect for accuracy.,"R&B, classical, jazz, ambient, piano, vocal"
A,Inear 8PPs,"$1,499.00",2,Flat across the spectrum ,The mosr responsive reference IEM currently on the market ,Reference 
A,InEar SD-5,$999.00,4,"Natural bass, warm mids, detailed highs ",An infinitley engaging tonality with a cozy fit ,"Roxk, electronic, pop, folk, contemporary"
A,Kinera Baldr ,"$1,399.00",4,"Clean bass, crsip mids, resonant highs ",Immaculate soundstage design with plenty of articulation and detail ,"Piano, Classical, Pop, Electronic, Jazz"
A,Kinera Freya ,$249.00,5,"Deep bass, detailed mids, plesent highs",A balanced IEM with an affordable price for its prestine signiture ,"Electronic, Rock, Pop, classical"
A,Kinera IDUN,$139.00,5,"Clean bass, full mids, crips highs ",A snappy response that aviods harshness ,"Elecronic, Jazz, Classical, Rock, Pop"
A,Kinera Nanna,$899.00,4,"Thick lows, warm mids, sweet highs",A naturalistic sound signiture with a wide stage ,"Folk, contemporary, pop, funk, reggae"
A,Kinera Odin,$679.00,5,"Deep lows,  meaty mids, detailed highs",A powerhouse of an IEM with an immaculate soundstage ,"Classical, Jazz, Rock, Pop, Hip-Hop"
A,MEZE Rai Penta ,"$1,099.00",4,"Balanced bass, clean mids, sparkly highs",A complex sound signiture with a lot of depth and range ,"Rock, Electronic, Pop"
A,NOBLE ENCORE,"$1,850.00",4,"Rich bass, clean mids, sparkling highs","An immersive, dynamic listening experience with an expansive soundstage","Classical, Jazz, Rock, Pop"
A,Noble Katana ,"$1,850.00",4,"Neutral bass, warm mids, clean highs ",A dynamic earphone with rich clarity,"Rock, Electronic, Pop, Classical, Jazz"
A,Noble Sultan ,"$2,900.00",4,"Smooth bass, full mids, detailed highs ",A plesant and immersive sound signiture thats consistent with dynamic range ,"Classical, Folk, Rock"
A,Sennheiser IE 800s,$999.95,4,"Deep lows, full mids, detailed highs ",A consistent timbre with a lot of coloration to offer ,"Hip-hop, pop, rock, jazz, "
B,64 Audio Nio,"$1,699.00",4,"Deep bass, smooth mids, airy highs ",A great mix of designs that culminate in a rich IEM ,"Classical, Jazz, Ambient, Contemporary"
B,64 Audio U18 Tzar,"$2,499.00",3,"Deep bass, Full mids, Crisp highs",A satisfying sound signiture for most genres,"Classical, Jazz, rock, pop"
B,AAW Halcyon ,"$1,499.00",4,"Punchy bass, crisp mids, textured highs ",A unique IEM with low end properties that prove to be a standout in the IEM market,"Electronic, Hip-hop, Jazz, Pop, rock"
B,Audeze  iSINE 10,$399.00,4,"Clear bass, full mids, present highs ",An odd fitting IEM but exceeds in a full sound signiture with an innovative design ,"Pop, rock, Electronic, classical, folk"
B,AUDIO TECHNICA E40,$99.95,4,"Clean bass, meaty mids, clear highs ",An affordable IEM with a satisfying and articulate sound,"Hard rock, electronic, pop, metal"
B,AWA 101,$49.95,5,"Punchy bass, balanced mids, smooth highs",A great set for audiophiles on a budget.,"Hip-hop, electronic, rock, pop, vocal"
B,BRAINWAVZ,$189.00,5,"Deep bass, warm mids, Crisp highs",A dynamic earphone with rich clarity,"Classical, Rock, Pop, jazz, folk"
B,Campfire Audio Atlas ,"$1,299.00",4,"Deep bass, crisp mids, airy highs",A resonant and dynamic response ,"Pop, Classical, Rock, Folk"
B,Campfire Audio Jupiter ,$799.00,4,"Wide bass, Clear mids, detailed highs ",A satisfying sound signiture for most genres,"Hip hop, rock, pop, electronic"
B,Campfire Dorado 2020 ,$999.00,4,"Neutral lows, crisp mids, extended highs","A worthy upgrade for the Dorado line, with excellent clarity in the highs","Jazz, rock, pop, folk, contemporary, ambient"
B,CAMPFIRE IO,$299.00,5,"Accurate lows, Meaty mids, Clear highs",A neutral IEM with room for analysis and at an affordable price ,"R&B, Reggae, Folk, rock, Pop, Jazz"
B,CAMPFIRE VEGA,"$1,299.00",4,"Textured lows, clear mids, smooth highs ",Superb balance and clarity ,"Rock, pop, electronic, folk, contemporary"
B,Clear Tune VS2,$399.00,4,"Clean lows, detailed mids, bright highs ",A finely tuned and balanced IEM ,"Pop, rock, country, contemporary "
B,DUNU 2002,$339.00,5,"Deep bass, crisp mids, clean highs ",A crisp and colorful timbre that will satisfy most listeners,"Hip Hop, Electronic, Hard Rock, Pop"
B,Dunu Titan 5 ,$139.00,4,"Clean bass, natural mids, detailed highs","A more releaxed, mellow sound signiture with wide soundstage","Contemporary, folk, ambient, shoegaze, pop"
