A,Kinera,IDUN,139,5,"Clean bass, full mids, crips highs",A snappy response that aviods harshness,"Electronic, Jazz, Classical, Rock, Pop"
A,Campfire Audio,Comet,199,5,"Deep bass, rich mids, rounded highs","One of the most affordabe IEMs Campfire offers, with nothing lost in fidelity","Rock, Hip-hop, R&B, Pop, Piano, Contemporary"
A,Kinera ,Freya,249,5,"Deep bass, detailed mids, plesent highs",A balanced IEM with an affordable price for its prestine signature,"Electronic, Rock, Pop, Classical"
A,DUNU ,DN-2000,315,5,"Clean lows, clear mids, airy highs",An exceptional hybrid IEM with great balance and space,"Rock, Metal, Pop, Ambient, Piano, Synth, Folk"
A,Audio Technica,ATH-LS300,399,5,"Impactful bass, clear mids, crisp highs","The complete package with deep, punchy bass, and sparkling highs for endless enjoyment.","Hip-hop, Jazz, Classical, Pop, Rock, Ambient"
A,Campfire Audio,Polaris,499,5,"Punchy bass, clear mids, detailed highs",A warm sound signiture miixed with Campfires irrasistible quality,"Hip-hop, Rock, Pop, Folk, Contemporary"
A,Clear Tune Monitors,VS4,599,5,"Deep lows, clean mids, detailed highs","The biggest upgrade from this series, lows are buttery smooth, and highs glisten. Very rounded and colorful","Classical, Pop, Film score, Electronic, Hip-hop"
A,HIFIMAN,RE800,599,5,"Smooth bass, full mids, sparkly highs",An exceptional IEM perect for accuracy.,"R&B, Classical, Jazz, Ambient, Piano, Vocal"
A,Kinera,Odin,679,5,"Deep lows, meaty mids, detailed highs",A powerhouse of an IEM with an immaculate soundstage,"Classical, Jazz, Rock, Pop, Hip-hop"
A,Final Audio,B1,699,5,"Balanced bass, clear mids, resonant highs",A dynamic timbre with a spacious soundstage,"Pop, Classical, Rock, Folk"
A,Kinera,Nanna,899,4,"Thick lows, warm mids, sweet highs",A naturalistic sound signature with a wide stage,"Folk, Contemporary, Pop, Funk, Reggae"
A,Beyerdynamic,Xelento,999,5,"Rich bass, balanced mids, crisp highs",Incredible balance with clear definition,"Classical, Rock, Pop, Jazz, Folk"
A,InEar,SD-5,999,4,"Natural bass, warm mids, detailed highs",An infinitley engaging tonality with a cozy fit,"Rock, Electronic, Pop, Folk, Contemporary"
A,Sennheiser,IE 800s,999.95,4,"Deep lows, full mids, detailed highs",A consistent timbre with a lot of coloration to offer,"Hip-hop, Pop, Rock, Jazz,"
A,Campfire Audio,Andromeda,1,3,"Rich bass, crisp mids, elegant highs","A layered soundstage with depth in most frequency bands, poweful output","Hip-hop, Rock, Electronic, Classical"
A,Campfire Audio,Andromeda 2020,1,4,"Wide bass, Full mids, rich highs","A lower end focus compared to previous model, but still rich in detail","Hip-hop, Rock, Electronic, Classical, Pop"
A,MEZE,Rai Penta,1,4,"Balanced bass, clean mids, sparkly highs",A complex sound signature with a lot of depth and range,"Rock, Electronic, Pop"
A,Campfire Audio,ARA,1,4,"Natural lows, crisp mids, clear highs",A high quality IEM with natural properties,"Classical, Jazz, Rock, Pop, Piano, Synth"
A,Kinera,Baldr,1,4,"Clean bass, crsip mids, resonant highs",Immaculate soundstage design with plenty of articulation and detail,"Piano, Classical, Pop, Electronic, Jazz"
A,Campfire Audio,Solaris 2020,1,3,"Rounded bass, meaty mids, glistening highs",A smooth overall timbre with expressive fullness,"Folk, Rock, Pop, Electronic"
A,InEar,8PPs,1,2,Flat across the spectrum,The most responsive reference IEM currently on the market,Reference
A,Empire Ears,NEMSIS,1,4,"Subtle bass, clean mids, detailed highs",Great soundstage design with rich textures escpecially for more ambient genres,"Pop, Ambient, Piano, Electronic, Classical"
A,Noble,ENCORE,1,4,"Rich bass, clean mids, sparkling highs","An immersive, dynamic listening experience with an expansive soundstage","Classical, Jazz, Rock, Pop"
A,Noble,Katana,1,4,"Neutral bass, warm mids, clean highs",A dynamic earphone with rich clarity,"Rock, Electronic, Pop, Classical, Jazz"
A,Noble,Sultan,2,4,"Smooth bass, full mids, detailed highs",A plesant and immersive sound signiture thats consistent with dynamic range,"Classical, Folk, Rock"
A,Empire Ears,Odin,3,4,"Deep lows, full mids, airy highs",An expensive but extremly high quality IEM with masterful separation and full band resolution,"Classical, Jazz, Folk, Pop, Hard Rock, Piano, Synth"
A,64 Audio,tia Fourte,3,4,"Natural lows, clean mids, sparkly highs",An IEM with prestine quality across the board,"Classical, Pop, Rock, Synth, Ambient"
B,Sennheiser,CX100,29,5,"Punchy Bass, warm mids, spacious highs",A satisfying sound signature for most genres,"Classical, Folk, Hip-hop, Rock, Pop"
B,Kinera,Sif,37,5,"Tight lows, solid mids, smooth highs",A solid sound for an extremly affordable price,"Rock, Pop, Electronic"
B,Shure,SE112,49,5,"Balanced lows, thick mids, detailed highs",An affordable wirless earbud with a solid sound signiture for a great value,"Folk, Pop, Rock, Contemporary"
B,AWA,101,49.95,5,"Punchy bass, balanced mids, smooth highs",A great set for audiophiles on a budget.,"Hip-hop, Electronic, Rock, Pop, Vocal"
B,Queen of Audio,Vesper,69,5,"Clean bass, clear mids, tight highs",Thick bass tones and crisp mids and a sense of width and space make for an incredible value,"Hip-hop, Electronic, Pop, Rock"
B,Fiio,F9,89.95,5,"Full bass, clear mids, accurate highs",A fantastic IEM for a cheaper price with high resolution and clarity,"Rock, Metal, Pop, Folk"
B,Shure,SE215,99,4,"Punchy bass, thick mids, rounded highs",An audiophile sound at an affordable price.,"Classical, Hip-hop, Pop, Electronic"
B,Audio Technica,E40,99.95,4,"Clean bass, meaty mids, clear highs",An affordable IEM with a satisfying and articulate sound,"Hard Rock, Electronic, Pop, Metal"
B,MEE Audio,Pinnacle P1,99.99,4,"Accurate bass, detailed mids, sparkly highs",A powerhouse IEM with great detail.,"Rock, Hard Rock, Metal, Pop, Electronic"
B,Noble,EDC,120,4,"Punchy lows, full mids, smooth highs",An inexpensive IEM that benifits from a variety of genres.,"Hip-hop, Folk, Rock, Pop, Electronic, Synth"
B,DUNU,Titan 5,139,4,"Clean bass, natural mids, detailed highs","A more releaxed, mellow sound signature with wide soundstage","Contemporary, Folk, Ambient, Shoegaze, Pop"
B,IBasso,IT01,149,5,"Smooth bass, clean mids, crisp highs","A thinner timbre, but resolution is impressive for the price","Hip-hop, Electronic, Rock, Pop, Metal"
B,Etymotic,ER2se,159.95,5,"Smooth bass, neutral mids, Clean highs",Crisp definition and smooth dynamic range response for a highly accurate IEM,"Classical, Country, Pop"
B,Sennheiser,IE80,179.95,5,"Rumbly bass, warm mids, smooth highs",A warm timbre thats expressive in  tonality and character,"Folk, Classical, Pop, Hip-hop"
B,Final Audio ,F3100,189.99,5,"Detailed bass, accurate mids, smooth highs",A IEM rich in detail for an affordable price,"Hip-hop, Electronic, Acoustic, Rock, Pop"
B,Meze,Rai Solo,249,5,"Deep bass, clean mids, detailed highs","Consistent in timbre, boosted bass makes for enticing listen in some genres","Pop, Hip-hop, Electronic"
B,Final Audio,E5000,269,4,"Soft bass, smooth mids, clear highs",A very easy going sound signiture with expressive detail,"Folk, Classical, Jazz, Country"
B,Final Audio,F4100,279,4,"Detailed bass, accurate mids, bright highs","A rich, balanced sound signiture with an immersive stage.","Classical, Rock, Pop, Alternative, Contemporary"
B,Shure,AONIC 215,279,4,"Smooth bass, Crisp mids, natural highs",Impressive sound fidelity from a wireless earphone,"Rock, Electronic, Pop"
B,Campfire Audio,IO,299,5,"Accurate lows, Meaty mids, Clear highs",A neutral IEM with room for analysis and at an affordable price,"R&B, Reggae, Folk, Rock, Pop, Jazz"
B,Final Audio,B2,299,4,"Punchy Bass, full mids, tight mids","Lacking in some high bands, but makes up in deeps lows and mids with body","Hip-hop, Electronic, Hard Rock"
B,GRADO,GR8E,299,4,"Full bass, clear mids, detailed highs",A satisfyning sound signiture that'll appease a variety of genres,"Hip-hop, Electronic, Rock, Pop, Metal"
B,Etymotic,ER4SR,299.95,5,"Flat lows, detailed mids, dynamic highs",An extensive and anylitical reference IEM,"Reference, Talk, Pop, Jazz"
